144,36,23,1509851632.638
144,35,51,1509851632.748
144,33,47,1509851632.814
144,31,47,1509851632.921
144,28,45,1509851632.972
144,29,42,1509851632.976
144,36,51,1509851633.139
144,35,45,1509851633.201
144,33,44,1509851633.325
144,31,52,1509851633.422
144,29,44,1509851633.497
144,36,53,1509851633.657
144,35,49,1509851633.7
144,33,44,1509851633.845
144,32,52,1509851633.915
144,31,49,1509851634.045
144,28,42,1509851634.076
144,36,48,1509851634.29
144,34,48,1509851634.305
144,32,47,1509851634.413
144,30,39,1509851634.548
144,28,47,1509851634.933
144,36,55,1509851634.935
144,35,53,1509851634.938
144,33,33,1509851634.968
144,31,53,1509851635.101
144,28,44,1509851635.152
144,49,44,1509851635.588
144,50,42,1509851635.644
144,41,49,1509851635.665
144,47,52,1509851635.76
144,45,46,1509851635.798
144,42,40,1509851636.072
144,51,39,1509851636.084
144,41,50,1509851636.092
144,43,51,1509851636.094
144,50,44,1509851636.097
144,45,44,1509851636.112
144,51,58,1509851636.407
144,45,59,1509851636.452
144,50,62,1509851636.454
144,43,62,1509851636.687
144,48,63,1509851636.689
144,47,55,1509851636.691
144,41,53,1509851636.694
144,55,68,1509851636.821
144,53,67,1509851636.827
144,52,68,1509851636.829
144,58,56,1509851636.832
144,49,51,1509851636.837
144,50,67,1509851636.839
144,57,56,1509851636.841
144,48,70,1509851636.852
144,50,49,1509851637.182
144,55,52,1509851637.192
144,52,55,1509851637.194
144,48,56,1509851637.197
144,53,49,1509851637.202
144,57,51,1509851637.224
144,50,59,1509851637.498
144,52,64,1509851637.501
144,53,63,1509851637.734
144,55,58,1509851637.737
144,48,61,1509851637.739
144,49,48,1509851637.741
144,57,52,1509851637.744
144,50,56,1509851637.808
144,52,59,1509851637.861
144,53,58,1509851637.864
144,55,62,1509851637.866
144,48,61,1509851637.869
144,49,53,1509851637.871
144,57,54,1509851637.873
144,50,61,1509851638.093
144,52,59,1509851638.103
144,53,56,1509851638.106
144,55,59,1509851638.108
144,48,61,1509851638.123
144,49,49,1509851638.135
144,57,53,1509851638.139
144,50,62,1509851638.382
144,52,62,1509851638.624
144,53,57,1509851638.626
144,55,63,1509851638.628
144,48,65,1509851638.631
144,49,42,1509851638.634
144,57,37,1509851638.636
